passed,year,adult,popularity,runtime,vote_average,vote_count
0,1997,FALSE,1.472339,31,6.4,24
1,2012,FALSE,14.670353,132,6.1,2170
0,2011,FALSE,5.79967,103,6.8,165
0,2011,FALSE,8.817924,92,6.5,338
1,2011,FALSE,9.336568,107,6.3,470
1,2012,FALSE,12.844171,118,6.4,98
0,2012,FALSE,11.250764,109,6.7,4151
1,2011,FALSE,5.872794,83,6.1,220
1,2011,FALSE,6.780752,99,6.2,160
0,2011,FALSE,7.789413,82,7.8,239
1,2011,FALSE,5.910385,99,5.6,67
0,2011,FALSE,6.753328,107,6.3,325
1,2004,FALSE,1.750965,124,6.3,9
1,2004,FALSE,0.475948,40,7.1,8
0,2012,FALSE,7.739904,99,5.5,1459
1,2011,FALSE,4.179477,97,7.3,343
1,2012,FALSE,19.561767,93,5.6,563
1,2011,FALSE,4.54174,92,5.8,121
1,2011,FALSE,14.811958,95,6.6,2314
1,1996,FALSE,1.017716,75,7.4,5
1,2011,FALSE,10.114319,100,5.3,66
1,2011,FALSE,10.239941,85,5.2,125
1,2009,FALSE,0.705208,91,4.3,2
0,2012,FALSE,7.254242,111,6.1,432
1,2012,FALSE,14.170183,106,5.5,1148
0,2012,FALSE,13.106966,131,5.5,2141
1,2011,FALSE,6.771605,88,6.5,21
1,2011,FALSE,9.23046,124,6.9,468
0,2010,FALSE,0.500427,107,7.1,12
0,2011,FALSE,4.666232,129,7.4,106
1,2011,FALSE,14.331454,100,6.6,262
1,2012,FALSE,12.84554,124,5.7,466
1,2009,FALSE,12.239661,100,5.8,33
1,2012,FALSE,5.264551,122,6.9,287
1,2012,FALSE,7.740762,101,6.8,981
1,1995,FALSE,8.234382,94,6.3,808
0,1996,FALSE,1.682371,185,7.3,22
1,2011,FALSE,2.664211,112,6,57
0,2012,FALSE,1.031792,114,6.2,9
1,2012,FALSE,10.665859,113,5.7,2383
0,1996,FALSE,0.062936,74,5,1
1,2011,FALSE,11.033977,89,6.1,68
1,2010,FALSE,0.214552,96,5.4,5
1,2011,FALSE,0.904979,109,6.7,18
0,2010,FALSE,4.441525,110,5.7,78
0,2012,FALSE,7.446085,83,5.9,1789
1,2012,FALSE,18.751554,127,5.8,3183
1,2011,FALSE,5.209056,85,6.3,109
1,2011,FALSE,4.788492,94,6.4,108
0,2012,FALSE,6.76513,88,4.9,492
1,2011,FALSE,6.21609,99,5.6,156
1,2012,FALSE,16.624854,124,6.3,5152
1,2012,FALSE,10.403371,89,5.5,194
0,2011,FALSE,5.875181,100,6.5,325
1,2011,FALSE,5.735158,116,6.3,127
0,2010,FALSE,1.600787,102,7.6,38
1,2012,FALSE,9.295078,98,5.3,402
1,2012,FALSE,8.692433,94,7.6,1701
1,2012,FALSE,3.174936,122,7.3,61
0,2012,FALSE,6.247758,76,6.6,103
1,2011,FALSE,1.574947,90,3,3
0,1999,FALSE,0.372715,10,6.8,22
0,2012,FALSE,6.087109,109,5.1,337
0,2012,FALSE,5.446745,91,6,381
1,2012,FALSE,7.067494,85,6.8,562
0,2012,FALSE,0.979775,83,4.9,4
0,2011,FALSE,4.191928,98,6.6,73
0,2011,FALSE,1.507249,85,5.9,34
1,2010,FALSE,2.936334,85,6.2,55
1,2012,FALSE,15.876341,93,6.7,4760
0,2016,FALSE,1.854367,94,5.3,3
0,2012,FALSE,7.812646,111,5.6,564
1,2012,FALSE,7.922636,94,5.5,1297
1,2010,FALSE,5.805666,117,5.9,63
1,2011,FALSE,7.74967,93,5.7,130
1,2012,FALSE,12.558042,123,6,392
0,2012,FALSE,6.947533,101,6.3,713
0,2012,FALSE,19.638605,106,6.3,4811
1,2012,FALSE,3.403206,94,6.1,54
1,2012,FALSE,8.732425,110,6.1,1062
0,2016,FALSE,4.62403,97,6,14
0,2012,FALSE,31.102267,136,6.5,6734
0,2012,FALSE,13.26958,88,6.2,2731
1,2012,FALSE,5.550496,93,6.8,411
1,2012,FALSE,14.906621,114,6.6,206
1,2007,FALSE,13.248022,131,6.2,784
0,2012,FALSE,13.276971,98,5.3,899
1,2012,FALSE,4.68182,91,5.4,94
1,2003,FALSE,0.451122,30,6.1,11
0,2012,FALSE,6.452069,102,6.4,433
0,2010,FALSE,1.311545,95,4.7,9
0,2012,FALSE,4.494016,102,5.8,73
1,2012,FALSE,7.692815,104,7,546
0,2012,FALSE,16.42635,121,5.8,2540
0,2005,FALSE,6.114738,90,5.2,39
1,2011,FALSE,0.52322,13,9.6,5
0,2007,FALSE,2.669195,82,5.1,51
1,2012,FALSE,20.309585,143,6.9,7718
0,2012,FALSE,7.581463,85,5.6,594
1,2012,FALSE,7.255301,100,5.8,287
1,2011,FALSE,9.920479,94,6,35
1,2012,FALSE,10.425038,90,6.7,808
1,2012,FALSE,10.225555,94,6,229
1,2012,FALSE,5.654784,91,6.2,848
1,2012,FALSE,5.426921,105,6.6,392
0,2012,FALSE,7.968423,115,6.8,1055
0,2012,FALSE,2.944038,81,6.6,65
1,2008,FALSE,7.286477,92,5.8,509
1,2008,FALSE,1.019161,87,6.1,5
1,2012,FALSE,10.893224,87,5.3,457
0,2012,FALSE,6.089971,96,6.4,384
1,2012,FALSE,11.03595,112,7.3,2310
0,2001,FALSE,9.491177,102,8,169
0,2012,FALSE,12.727269,118,6.6,4777
1,2012,FALSE,7.563444,90,6.3,225
1,2012,FALSE,0.948759,95,5.6,1618
1,2001,FALSE,0.108027,96,5.3,2
1,2012,FALSE,4.296441,87,4.8,55
0,2012,FALSE,8.074218,137,7,720
0,2012,FALSE,5.808496,100,6.1,300
1,2012,FALSE,1.891233,106,5.8,25
1,2012,FALSE,7.45279,109,7.2,1186
0,2012,FALSE,7.820787,116,5.8,385
1,2012,FALSE,12.775679,102,7.7,3056
0,2012,FALSE,8.462801,115,7.9,946
0,2012,FALSE,7.34241,115,7,232
0,2012,FALSE,2.315249,108,7.1,39
1,2012,FALSE,2.24386,116,5.8,36
0,2012,FALSE,16.376482,91,6.1,2783
1,2012,FALSE,5.526878,107,5.4,244
1,2012,FALSE,8.513457,101,5.6,566
1,2012,FALSE,7.96508,106,5.7,339
1,2012,FALSE,5.900375,109,7,91
1,2011,FALSE,0.459659,80,5.5,4
1,2006,FALSE,0.631309,85,5.2,5
